,train_loss,test_loss,test_acc
0,0.34136053919792175,0.3465573191642761,0.505
1,0.34640032052993774,0.34660130739212036,0.5
2,0.34654784202575684,0.3466218113899231,0.5
3,0.3465332090854645,0.3465704321861267,0.5
4,0.34651312232017517,0.34653884172439575,0.495
5,0.34660184383392334,0.3465416729450226,0.5
6,0.346591055393219,0.34657204151153564,0.5
7,0.3465646505355835,0.34656426310539246,0.495
8,0.34655484557151794,0.3465809226036072,0.495
9,0.34650111198425293,0.34656307101249695,0.5
10,0.34660711884498596,0.34657299518585205,0.495
11,0.34657496213912964,0.3465752899646759,0.485
12,0.3465915620326996,0.34657877683639526,0.5
13,0.34658610820770264,0.34659647941589355,0.505
14,0.34652525186538696,0.34656357765197754,0.5
15,0.346576452255249,0.3465670347213745,0.5
16,0.3465079069137573,0.3465617001056671,0.505
17,0.3465736508369446,0.3465750813484192,0.49
18,0.3465754985809326,0.3465719223022461,0.5
19,0.34657520055770874,0.3466128408908844,0.505
20,0.3465534746646881,0.34658509492874146,0.5
21,0.3465880751609802,0.34657609462738037,0.505
22,0.3465755879878998,0.3460811376571655,0.5
23,0.3465738296508789,0.34657371044158936,0.505
24,0.34657320380210876,0.3465830683708191,0.5
25,0.34649044275283813,0.3465738594532013,0.495
26,0.3465735912322998,0.34657299518585205,0.505
27,0.3465735912322998,0.3465732932090759,0.515
28,0.34657344222068787,0.34657394886016846,0.475
29,0.34657394886016846,0.3465732932090759,0.49
30,0.34657353162765503,0.3465679883956909,0.495
31,0.3465783894062042,0.34657174348831177,0.5
32,0.3465738296508789,0.3465772271156311,0.525
33,0.3466627299785614,0.3465711176395416,0.485
34,0.34643593430519104,0.3465571999549866,0.505
35,0.34657520055770874,0.3465869426727295,0.5
36,0.34657371044158936,0.3465680778026581,0.5
37,0.3465738594532013,0.3465735912322998,0.485
38,0.3465728759765625,0.34655746817588806,0.5
39,0.34659165143966675,0.34657353162765503,0.5
40,0.34657353162765503,0.3465760052204132,0.48
41,0.34657543897628784,0.346567839384079,0.505
42,0.34657320380210876,0.3465694487094879,0.5
43,0.3465723991394043,0.3469558656215668,0.495
44,0.34657374024391174,0.3457823693752289,0.52
45,0.34658047556877136,0.3465694189071655,0.5
46,0.34657296538352966,0.3459976315498352,0.51
47,0.3465728759765625,0.34656813740730286,0.5
48,0.34657543897628784,0.34657400846481323,0.495
49,0.3465738594532013,0.34653347730636597,0.5
50,0.3465735912322998,0.3465721607208252,0.49
51,0.3465730547904968,0.34657180309295654,0.51
52,0.34657371044158936,0.34658023715019226,0.5
53,0.3465738594532013,0.3465746343135834,0.5
54,0.34657222032546997,0.34655657410621643,0.49
55,0.3465645909309387,0.34657371044158936,0.515
56,0.346574068069458,0.3465569317340851,0.5
57,0.34657347202301025,0.3465628921985626,0.49
58,0.26478007435798645,0.29117947816848755,0.605
59,0.28134018182754517,0.26440322399139404,0.775
60,0.29902976751327515,0.2591647207736969,0.745
61,0.2518370449542999,0.24826698005199432,0.755
62,0.250876247882843,0.24734771251678467,0.75
63,0.29211217164993286,0.22045402228832245,0.775
64,0.19388654828071594,0.22677655518054962,0.75
65,0.19359414279460907,0.2304157018661499,0.735
66,0.15854960680007935,0.2263708859682083,0.745
67,0.1910090148448944,0.2179594486951828,0.775
68,0.2916058897972107,0.224490225315094,0.75
69,0.19086989760398865,0.2285577952861786,0.735
70,0.17600956559181213,0.18728584051132202,0.765
71,0.16778500378131866,0.1642920821905136,0.775
72,0.1566285490989685,0.14604654908180237,0.715
73,0.14673012495040894,0.15351448953151703,0.715
74,0.14872610569000244,0.15125270187854767,0.75
75,0.14163433015346527,0.15489651262760162,0.735
76,0.1526225358247757,0.15506580471992493,0.78
77,0.15418970584869385,0.14548896253108978,0.75
78,0.15433302521705627,0.15448230504989624,0.76
79,0.15220226347446442,0.15305908024311066,0.73
80,0.15671475231647491,0.15932080149650574,0.745
81,0.15338240563869476,0.15542718768119812,0.785
82,0.14746040105819702,0.15209650993347168,0.735
83,0.15190920233726501,0.1543298065662384,0.755
84,0.1483796238899231,0.14727109670639038,0.715
85,0.15615352988243103,0.15503807365894318,0.75
86,0.1506408452987671,0.15144482254981995,0.725
87,0.15733981132507324,0.1513155996799469,0.71
88,0.15828178822994232,0.15286113321781158,0.75
89,0.1487560123205185,0.15094520151615143,0.765
90,0.15765319764614105,0.15651097893714905,0.76
91,0.1592046171426773,0.1518675684928894,0.755
92,0.15272921323776245,0.15446926653385162,0.765
93,0.15159687399864197,0.15418650209903717,0.775
94,0.15693864226341248,0.15344123542308807,0.75
95,0.15437853336334229,0.14926199615001678,0.715
96,0.15439210832118988,0.15260738134384155,0.765
97,0.15296772122383118,0.15435709059238434,0.745
98,0.14764679968357086,0.1533277928829193,0.735
99,0.14787913858890533,0.15160465240478516,0.735
100,0.15729142725467682,0.15543074905872345,0.77
101,0.15052881836891174,0.15274879336357117,0.73
102,0.14949870109558105,0.1533988118171692,0.755
103,0.15450039505958557,0.15306788682937622,0.775
104,0.15787482261657715,0.15347519516944885,0.745
105,0.15551015734672546,0.1542380303144455,0.745
106,0.15733924508094788,0.15329696238040924,0.76
107,0.15134167671203613,0.15129558742046356,0.74
108,0.15163446962833405,0.15465909242630005,0.725
109,0.15617170929908752,0.154049351811409,0.75
110,0.14987055957317352,0.1531805545091629,0.77
111,0.15546762943267822,0.1552438884973526,0.775
112,0.15474507212638855,0.15224500000476837,0.725
113,0.1517067402601242,0.15441526472568512,0.755
114,0.15236397087574005,0.15472710132598877,0.74
115,0.15550485253334045,0.15381596982479095,0.72
116,0.1538180112838745,0.15104791522026062,0.77
117,0.15619879961013794,0.15216465294361115,0.745
118,0.15415582060813904,0.15399903059005737,0.745
119,0.15486204624176025,0.15387040376663208,0.73
120,0.1573166847229004,0.1543303281068802,0.76
121,0.15300774574279785,0.1543860286474228,0.755
122,0.1557827889919281,0.1543789803981781,0.74
123,0.15341925621032715,0.15237681567668915,0.75
124,0.15527869760990143,0.15258395671844482,0.715
125,0.1517542153596878,0.15383943915367126,0.72
126,0.15730847418308258,0.15420520305633545,0.755
127,0.14878618717193604,0.1525469571352005,0.74
128,0.1527864634990692,0.15367941558361053,0.725
129,0.15437199175357819,0.15503007173538208,0.76
130,0.14814715087413788,0.15175360441207886,0.735
131,0.15474167466163635,0.15307112038135529,0.725
132,0.1557650864124298,0.15484972298145294,0.74
133,0.14938127994537354,0.15225191414356232,0.765
134,0.1549171805381775,0.1517946869134903,0.72
135,0.1540134847164154,0.15434904396533966,0.765
136,0.15337622165679932,0.15158545970916748,0.685
137,0.15554356575012207,0.1537800282239914,0.76
138,0.15420667827129364,0.15417084097862244,0.725
139,0.15397325158119202,0.1536954641342163,0.785
140,0.14951413869857788,0.15346390008926392,0.755
141,0.15281710028648376,0.15318913757801056,0.75
142,0.1525021642446518,0.15367914736270905,0.76
143,0.1551557332277298,0.1535118818283081,0.79
144,0.15559667348861694,0.15513208508491516,0.8
145,0.15594202280044556,0.15477921068668365,0.72
146,0.15531420707702637,0.1542968451976776,0.77
147,0.152502179145813,0.15179210901260376,0.735
148,0.15113133192062378,0.1535157859325409,0.775
149,0.15566863119602203,0.15364472568035126,0.725
150,0.15516188740730286,0.15522071719169617,0.71
151,0.1573096066713333,0.15287935733795166,0.735
152,0.14801059663295746,0.15278470516204834,0.76
153,0.15644145011901855,0.1544026881456375,0.71
154,0.15331771969795227,0.15500503778457642,0.765
155,0.15306103229522705,0.15367823839187622,0.805
156,0.1531933695077896,0.15322399139404297,0.715
157,0.15560150146484375,0.15418724715709686,0.8
158,0.1543363332748413,0.15479345619678497,0.785
159,0.1530122309923172,0.1535675972700119,0.755
160,0.14793342351913452,0.15174755454063416,0.745
161,0.14939451217651367,0.15247826278209686,0.755
162,0.15314066410064697,0.15218766033649445,0.72
163,0.15348678827285767,0.15271522104740143,0.73
164,0.15716010332107544,0.1539417803287506,0.785
165,0.15548007190227509,0.15409179031848907,0.73
166,0.15259039402008057,0.15415844321250916,0.755
167,0.15730956196784973,0.15277093648910522,0.76
168,0.15130215883255005,0.15332210063934326,0.75
169,0.15533918142318726,0.1533927321434021,0.745
170,0.15373949706554413,0.1538017988204956,0.75
171,0.15557701885700226,0.15369486808776855,0.78
172,0.1552571952342987,0.15329842269420624,0.76
173,0.15032905340194702,0.15420392155647278,0.8
174,0.1508086919784546,0.15303820371627808,0.735
175,0.15297187864780426,0.1523594707250595,0.77
176,0.15058794617652893,0.15206149220466614,0.73
177,0.15122051537036896,0.15353219211101532,0.755
178,0.15430933237075806,0.15378603339195251,0.775
179,0.15438701212406158,0.1519804447889328,0.75
180,0.1522064059972763,0.15128512680530548,0.73
181,0.15401169657707214,0.15460757911205292,0.72
182,0.15090936422348022,0.15415166318416595,0.79
183,0.15517911314964294,0.15477149188518524,0.745
184,0.1573169231414795,0.152568519115448,0.715
185,0.15597492456436157,0.15397541224956512,0.725
186,0.15485626459121704,0.151300311088562,0.745
187,0.14984969794750214,0.15340682864189148,0.785
188,0.1554354727268219,0.15357720851898193,0.74
189,0.15362954139709473,0.1543491780757904,0.775
190,0.15388526022434235,0.15363150835037231,0.735
191,0.15389670431613922,0.1540025770664215,0.735
192,0.15284723043441772,0.15304045379161835,0.755
193,0.15373927354812622,0.15416795015335083,0.765
194,0.1519719958305359,0.15361382067203522,0.76
195,0.15730483829975128,0.15383057296276093,0.745
196,0.1532307267189026,0.15303762257099152,0.735
197,0.1525564342737198,0.1538560390472412,0.75
198,0.1529531180858612,0.15378491580486298,0.775
199,0.15543758869171143,0.1537279635667801,0.77
200,0.15344564616680145,0.15300381183624268,0.705
201,0.14930832386016846,0.1532718986272812,0.725
202,0.15175476670265198,0.15374597907066345,0.75
203,0.15215295553207397,0.15297406911849976,0.73
204,0.15098120272159576,0.15401007235050201,0.78
205,0.15205252170562744,0.1535758078098297,0.745
206,0.15310025215148926,0.15411651134490967,0.785
207,0.15308493375778198,0.15517468750476837,0.785
208,0.15318632125854492,0.15335513651371002,0.77
209,0.1537918746471405,0.15357396006584167,0.725
210,0.15927982330322266,0.15902544558048248,0.74
211,0.15136003494262695,0.15348824858665466,0.78
212,0.15364857017993927,0.15289786458015442,0.755
213,0.15116336941719055,0.1526491940021515,0.74
214,0.15570615231990814,0.15374240279197693,0.76
215,0.15342575311660767,0.15378016233444214,0.75
216,0.1545080840587616,0.15369535982608795,0.72
217,0.15730364620685577,0.15398241579532623,0.745
218,0.15345162153244019,0.15426525473594666,0.8
219,0.15348874032497406,0.15377098321914673,0.77
220,0.1427900791168213,0.1516457200050354,0.79
221,0.15431362390518188,0.15558317303657532,0.73
222,0.15300783514976501,0.15316204726696014,0.75
223,0.15010100603103638,0.1523696929216385,0.735
224,0.15405678749084473,0.15326812863349915,0.73
225,0.15354380011558533,0.15407826006412506,0.795
226,0.15302994847297668,0.1538977324962616,0.71
227,0.15338295698165894,0.15387935936450958,0.77
228,0.15507256984710693,0.15276843309402466,0.705
229,0.1542724221944809,0.15422749519348145,0.725
230,0.1573062390089035,0.1533268839120865,0.755
231,0.15538673102855682,0.15271897614002228,0.715
232,0.15526461601257324,0.15272855758666992,0.75
233,0.1573018580675125,0.15394558012485504,0.78
234,0.15326035022735596,0.15351805090904236,0.78
235,0.152177631855011,0.15280376374721527,0.72
236,0.15064114332199097,0.1532336324453354,0.745
237,0.15019172430038452,0.15339870750904083,0.78
238,0.15377280116081238,0.1534944623708725,0.72
239,0.1551707684993744,0.15325413644313812,0.76
240,0.15594568848609924,0.1550523340702057,0.785
241,0.15224385261535645,0.15426576137542725,0.77
242,0.15187695622444153,0.15393312275409698,0.78
243,0.1549164056777954,0.1552794873714447,0.705
244,0.15153411030769348,0.15333831310272217,0.735
245,0.15532918274402618,0.1542571783065796,0.775
246,0.15208502113819122,0.154138445854187,0.78
247,0.15536805987358093,0.15303988754749298,0.72
248,0.15302012860774994,0.15391916036605835,0.76
249,0.15730226039886475,0.15439774096012115,0.745
250,0.15345323085784912,0.15460608899593353,0.775
251,0.14946798980236053,0.15374498069286346,0.77
252,0.1463649868965149,0.14976181089878082,0.75
253,0.15254083275794983,0.15152807533740997,0.7
254,0.15370097756385803,0.15326347947120667,0.74
255,0.15351137518882751,0.15452119708061218,0.8
256,0.15230336785316467,0.15311379730701447,0.77
257,0.15525996685028076,0.1537160575389862,0.77
258,0.15532253682613373,0.1537526398897171,0.75
259,0.15122532844543457,0.15336766839027405,0.76
260,0.15525314211845398,0.15372826159000397,0.72
261,0.15013787150382996,0.15303868055343628,0.755
262,0.15356147289276123,0.1539953052997589,0.78
263,0.15186259150505066,0.15339772403240204,0.76
264,0.15299317240715027,0.15433426201343536,0.76
265,0.15397228300571442,0.1535927802324295,0.75
266,0.15655581653118134,0.1552811861038208,0.725
267,0.15522931516170502,0.1534440517425537,0.765
268,0.14982880651950836,0.1541987508535385,0.795
269,0.1535305231809616,0.153997540473938,0.785
270,0.15376415848731995,0.15411075949668884,0.76
271,0.15200117230415344,0.15254853665828705,0.73
272,0.15536029636859894,0.15294033288955688,0.73
273,0.15553805232048035,0.15441934764385223,0.765
274,0.1495467573404312,0.15308092534542084,0.72
275,0.1519845873117447,0.15425467491149902,0.795
276,0.15140023827552795,0.15251410007476807,0.73
277,0.15335315465927124,0.15396051108837128,0.79
278,0.15194933116436005,0.1541699916124344,0.765
279,0.15364761650562286,0.15378481149673462,0.76
280,0.15370690822601318,0.1536378115415573,0.755
281,0.15226396918296814,0.15373770892620087,0.755
282,0.15356601774692535,0.15323491394519806,0.73
283,0.15050408244132996,0.1527193933725357,0.705
