,train_loss,test_loss,test_acc
0,1.3907880783081055,1.3917170763015747,0.245
1,1.3879226446151733,1.3879916667938232,0.275
2,1.392350673675537,1.3884892463684082,0.2375
3,1.3886361122131348,1.3868260383605957,0.2375
4,1.3870925903320312,1.3872005939483643,0.2375
5,1.38008451461792,1.386940360069275,0.235
6,1.3829586505889893,1.3875383138656616,0.25
7,1.3929262161254883,1.386827826499939,0.26
8,1.381765604019165,1.3870720863342285,0.2675
9,1.3913474082946777,1.3871688842773438,0.235
10,1.3881570100784302,1.3866562843322754,0.2475
11,1.387808084487915,1.3874484300613403,0.2375
12,1.3915148973464966,1.3871726989746094,0.24
13,1.3841768503189087,1.3858637809753418,0.23
14,1.387223243713379,1.3871210813522339,0.2475
15,1.3915225267410278,1.3880404233932495,0.2125
16,1.3872008323669434,1.3873610496520996,0.2475
17,1.3894710540771484,1.3868085145950317,0.255
18,1.3884596824645996,1.3877276182174683,0.22
19,1.3901630640029907,1.3869210481643677,0.245
20,1.3823299407958984,1.3864877223968506,0.275
21,1.3868855237960815,1.3859676122665405,0.28
22,1.387213945388794,1.3861567974090576,0.2625
23,1.382595181465149,1.3874537944793701,0.22
24,1.3827614784240723,1.3873300552368164,0.2325
25,1.3859789371490479,1.3853579759597778,0.25
26,1.3844079971313477,1.3859443664550781,0.26
27,1.3866506814956665,1.3858603239059448,0.26
28,1.3868777751922607,1.386427402496338,0.23
29,1.3884129524230957,1.3872853517532349,0.225
30,1.3857059478759766,1.386269211769104,0.22
31,1.3842226266860962,1.38735032081604,0.235
32,1.3818974494934082,1.3870331048965454,0.255
33,1.3812079429626465,1.386481523513794,0.23
34,1.383073329925537,1.3866820335388184,0.2475
35,1.3846101760864258,1.386369228363037,0.2075
36,1.3876153230667114,1.3858306407928467,0.265
37,1.3864073753356934,1.3871095180511475,0.2375
38,1.3860400915145874,1.3858169317245483,0.275
39,1.3813598155975342,1.386305809020996,0.25
40,1.386364459991455,1.3856439590454102,0.2725
41,1.3840372562408447,1.3861645460128784,0.24
42,1.385910153388977,1.3875019550323486,0.2175
43,1.3875818252563477,1.3868927955627441,0.2475
44,1.3817614316940308,1.385870099067688,0.2525
45,1.383164644241333,1.3862853050231934,0.2475
46,1.3862898349761963,1.3862484693527222,0.2575
47,1.3854267597198486,1.387015700340271,0.2375
48,1.3866441249847412,1.386290431022644,0.2575
49,1.3865599632263184,1.3865057229995728,0.2725
50,1.3842134475708008,1.3866796493530273,0.21
51,1.3845648765563965,1.3861395120620728,0.235
52,1.3855972290039062,1.3860235214233398,0.2775
