,train_loss,test_loss,test_acc
0,1.4029871225357056,1.3909122943878174,0.245
1,1.3826866149902344,1.3861314058303833,0.2575
2,1.3862180709838867,1.3870201110839844,0.2275
3,1.386948585510254,1.385617733001709,0.27
4,1.3828262090682983,1.3863308429718018,0.25
5,1.389562964439392,1.3864648342132568,0.2825
6,1.3866467475891113,1.3858739137649536,0.265
7,1.386248230934143,1.3878570795059204,0.2675
8,1.388075828552246,1.3865104913711548,0.2775
9,1.3795232772827148,1.3869601488113403,0.2275
10,1.389983892440796,1.3869765996932983,0.24
11,1.3862833976745605,1.3853366374969482,0.2525
12,1.3887625932693481,1.3857815265655518,0.2525
13,1.3880717754364014,1.387895941734314,0.22
14,1.3887144327163696,1.3861178159713745,0.235
15,1.3871450424194336,1.3864054679870605,0.28
16,1.382525086402893,1.3869311809539795,0.25
17,1.3859879970550537,1.3865848779678345,0.25
18,1.3872363567352295,1.3867985010147095,0.24
19,1.3852039575576782,1.3866130113601685,0.24
20,1.3895901441574097,1.3865073919296265,0.26
21,1.3869385719299316,1.385703682899475,0.2625
22,1.3904956579208374,1.3863388299942017,0.2725
23,1.3823829889297485,1.3852795362472534,0.26
24,1.3818048238754272,1.3857723474502563,0.2825
25,1.3866307735443115,1.3866896629333496,0.245
26,1.3933568000793457,1.3870505094528198,0.2375
27,1.389208197593689,1.3870769739151,0.2375
28,1.3831515312194824,1.3843193054199219,0.275
29,1.3874430656433105,1.3859554529190063,0.24
30,1.3853191137313843,1.3883717060089111,0.2375
31,1.388322353363037,1.3855737447738647,0.255
32,1.3793083429336548,1.385568380355835,0.265
33,1.3854933977127075,1.3860092163085938,0.2625
34,1.388993263244629,1.3862338066101074,0.2575
35,1.382516622543335,1.385563850402832,0.3175
36,1.3863105773925781,1.3857825994491577,0.255
37,1.3880032300949097,1.387054443359375,0.2125
38,1.3906569480895996,1.388518214225769,0.2425
39,1.387573480606079,1.3852369785308838,0.255
40,1.385716199874878,1.387132167816162,0.2325
41,1.3914985656738281,1.3872978687286377,0.22
42,1.3835567235946655,1.3862115144729614,0.2425
43,1.3865294456481934,1.386267900466919,0.2425
44,1.3797096014022827,1.3861316442489624,0.275
45,1.3949496746063232,1.3864001035690308,0.235
46,1.3853256702423096,1.3864738941192627,0.26
47,1.3850250244140625,1.3855836391448975,0.24
48,1.383415699005127,1.3860456943511963,0.275
49,1.386969804763794,1.3869706392288208,0.25
50,1.3860220909118652,1.3860421180725098,0.27
51,1.379866123199463,1.3866775035858154,0.22
52,1.388685703277588,1.3857810497283936,0.27
53,1.3873575925827026,1.385992169380188,0.2675
54,1.3843929767608643,1.3866376876831055,0.2475
55,1.3901712894439697,1.3867640495300293,0.2525
56,1.3827881813049316,1.3862794637680054,0.24
57,1.3908635377883911,1.3861733675003052,0.265
58,1.3861024379730225,1.3852156400680542,0.2575
59,1.3868550062179565,1.3864312171936035,0.24
60,1.384706735610962,1.386734962463379,0.245
61,1.3904619216918945,1.3862298727035522,0.2225
62,1.384529948234558,1.3857345581054688,0.29
63,1.3834879398345947,1.3860324621200562,0.2575
64,1.3859543800354004,1.3865569829940796,0.275
65,1.3862152099609375,1.385619044303894,0.275
66,1.3868863582611084,1.3866267204284668,0.2325
67,1.3908082246780396,1.3863006830215454,0.2575
68,1.3863353729248047,1.3857897520065308,0.27
69,1.3856642246246338,1.3858554363250732,0.2575
70,1.386878490447998,1.3868099451065063,0.2475
71,1.3862500190734863,1.3864291906356812,0.24
72,1.38619863986969,1.3862332105636597,0.235
73,1.388405442237854,1.3865211009979248,0.22
74,1.3841536045074463,1.3863204717636108,0.2225
75,1.3874332904815674,1.3859319686889648,0.2775
76,1.3856275081634521,1.3864892721176147,0.225
77,1.3873159885406494,1.3863073587417603,0.265
78,1.3860970735549927,1.3865363597869873,0.23
79,1.3876605033874512,1.3860458135604858,0.28
80,1.3865489959716797,1.386306881904602,0.2675
81,1.3861958980560303,1.3862801790237427,0.2525
82,1.3859903812408447,1.386283278465271,0.2575
83,1.3860671520233154,1.3863509893417358,0.23
84,1.3868027925491333,1.3862812519073486,0.2525
85,1.386106014251709,1.3863091468811035,0.2525
86,1.3865159749984741,1.386216163635254,0.27
87,1.386218547821045,1.3863551616668701,0.25
88,1.3855080604553223,1.3862495422363281,0.2725
89,1.3860235214233398,1.3862591981887817,0.2775
90,1.3861795663833618,1.3863011598587036,0.25
91,1.3859364986419678,1.3862587213516235,0.265
92,1.3860883712768555,1.386255145072937,0.2475
93,1.3864909410476685,1.3861970901489258,0.2475
94,1.386176347732544,1.386244773864746,0.245
95,1.3861480951309204,1.3863433599472046,0.2425
96,1.3861271142959595,1.386260986328125,0.27
97,1.3861639499664307,1.3862767219543457,0.2525
98,1.3862903118133545,1.3862602710723877,0.2525
99,1.3863118886947632,1.3862742185592651,0.265
100,1.386325478553772,1.386277675628662,0.26
101,1.3862664699554443,1.386344313621521,0.2375
102,1.3861855268478394,1.3862998485565186,0.255
103,1.386256217956543,1.3862793445587158,0.2425
104,1.386526346206665,1.3863369226455688,0.2525
105,1.386254072189331,1.3863073587417603,0.2525
106,1.3860998153686523,1.3863213062286377,0.2475
107,1.3861584663391113,1.3862581253051758,0.25
108,1.3865678310394287,1.3863134384155273,0.255
109,1.3862965106964111,1.3863191604614258,0.2475
110,1.3863205909729004,1.3862884044647217,0.245
111,1.3862797021865845,1.386318325996399,0.255
112,1.3862231969833374,1.3862838745117188,0.25
113,1.3863112926483154,1.386300802230835,0.245
114,1.3862724304199219,1.3863155841827393,0.2575
115,1.3862800598144531,1.386296272277832,0.2325
116,1.3862740993499756,1.386294960975647,0.2525
117,1.3862038850784302,1.3862922191619873,0.24
118,1.3863167762756348,1.386293649673462,0.2525
119,1.3864327669143677,1.3862662315368652,0.25
120,1.3863492012023926,1.3863043785095215,0.25
121,1.3863520622253418,1.3863000869750977,0.25
122,1.3862354755401611,1.3862674236297607,0.25
123,1.3862651586532593,1.3862730264663696,0.25
124,1.386322259902954,1.38627028465271,0.25
125,1.3862249851226807,1.386259913444519,0.25
126,1.38637375831604,1.3862797021865845,0.25
127,1.3862826824188232,1.3862963914871216,0.235
128,1.3862700462341309,1.3862855434417725,0.25
129,1.38632333278656,1.3862985372543335,0.2575
130,1.3863272666931152,1.3863258361816406,0.2475
131,1.3862539529800415,1.3863226175308228,0.25
132,1.3863204717636108,1.3863061666488647,0.2525
133,1.3863005638122559,1.386289119720459,0.2475
134,1.3862929344177246,1.386296033859253,0.245
135,1.386296033859253,1.3862963914871216,0.2525
136,1.3862948417663574,1.3862916231155396,0.26
137,1.3862942457199097,1.3862932920455933,0.25
138,1.3863087892532349,1.3862932920455933,0.2675
139,1.3862943649291992,1.3862942457199097,0.245
140,1.3862981796264648,1.3862911462783813,0.2275
141,1.3862943649291992,1.3862947225570679,0.2275
142,1.3862981796264648,1.3862948417663574,0.26
143,1.3862950801849365,1.3862942457199097,0.25
144,1.3862943649291992,1.3862942457199097,0.255
145,1.3862943649291992,1.3862963914871216,0.245
146,1.3862943649291992,1.3862942457199097,0.2475
147,1.3862943649291992,1.3862942457199097,0.255
148,1.3862943649291992,1.3862941265106201,0.25
149,1.3862943649291992,1.3862942457199097,0.26
150,1.3862943649291992,1.3862942457199097,0.2575
151,1.3862943649291992,1.3862942457199097,0.245
152,1.3862943649291992,1.3862942457199097,0.245
153,1.3862943649291992,1.386293888092041,0.245
154,1.3862943649291992,1.3862942457199097,0.255
155,1.3862943649291992,1.3862942457199097,0.245
156,1.3862943649291992,1.3862942457199097,0.25
157,1.3862943649291992,1.3862942457199097,0.25
158,1.3862942457199097,1.3862948417663574,0.2525
159,1.3862943649291992,1.3862942457199097,0.245
160,1.3862943649291992,1.3862943649291992,0.25
161,1.3862943649291992,1.3862942457199097,0.2575
162,1.3862943649291992,1.3862946033477783,0.2525
163,1.3862943649291992,1.3862942457199097,0.2525
164,1.3862943649291992,1.3862942457199097,0.255
165,1.3862943649291992,1.3862943649291992,0.255
166,1.3862943649291992,1.3862942457199097,0.25
167,1.3862942457199097,1.3862942457199097,0.25
168,1.3862943649291992,1.3862942457199097,0.25
169,1.3862943649291992,1.3862942457199097,0.25
170,1.3862943649291992,1.3862942457199097,0.25
171,1.3862943649291992,1.3862942457199097,0.25
172,1.3862943649291992,1.3862942457199097,0.25
173,1.3862943649291992,1.3862942457199097,0.25
174,1.3862943649291992,1.3862942457199097,0.25
